item_id,item_material,item_num,item_length,item_width,item_order,ItemS,分批次结果,,,,
25590,XXB-0215S,1,603,92.5,order1,0.055778,4,,,,
25670,GDMY-0218SD,1,1662,58,order1,0.096396,4,,,,
25720,GDMY-0218S,1,1000,577,order1,0.577,4,,,,
25736,GDMY-0218S,1,1000,575,order1,0.575,4,,,,
25751,GDMY-0218S,1,1901,558,order1,1.060758,4,,,,
25849,XXB-0218S,1,424.5,420,order1,0.17829,4,,,,
25904,GDMY-0218SD,1,302.5,58,order1,0.017545,4,,,,
26000,GDMY-0218SD,1,341,58,order1,0.019778,4,,,,
26015,GDMY-0218S,1,319,556,order1,0.177364,4,,,,
26084,GDMY-0218S,1,2067,38,order1,0.078546,4,,,,
26120,XXB-0215S,1,264,489,order1,0.129096,4,,,,
26146,XXB-0215S,1,263,92.5,order1,0.024328,4,,,,
26167,XXB-0215S,1,488,78,order1,0.038064,4,,,,
26168,XXB-0218S,1,1607,420,order1,0.67494,4,,,,
26189,GDMY-0218S,1,1662,577,order1,0.958974,4,,,,
26325,XXB-0218S,1,424.5,420,order1,0.17829,4,,,,
26518,GDMY-0218S,1,1998,578,order1,1.154844,4,,,,
26543,GDMY-0218S,1,821,558,order1,0.458118,4,,,,
26562,GDMY-0218SD,1,1000,58,order1,0.058,4,,,,
26653,GDMY-0215S,1,1901,821,order1,1.560721,4,,,,
26674,XXB-0215S,1,764,52.5,order1,0.04011,4,,,,
26688,GDMY-0218SD,1,1000,58,order1,0.058,4,,,,
26733,GDMY-0218S,1,319,556,order1,0.177364,4,,,,
26801,XXB-0218S,1,344,172,order1,0.059168,4,,,,
26802,XXB-0215S,1,604,489,order1,0.295356,4,,,,
26847,GDMY-0218S,1,1901,577,order1,1.096877,4,,,,
26946,XXB-0218S,1,845,163,order1,0.137735,4,,,,
26965,GDMY-0215S,1,1901,1000,order1,1.901,4,,,,
26967,GDMY-0218SD,1,1662,58,order1,0.096396,4,,,,
27033,XXB-0215S,1,488,118,order1,0.057584,4,,,,
27147,GDMY-0215S,1,1662,409.5,order1,0.680589,4,,,,
27284,GDMY-0218S,1,821,558,order1,0.458118,4,,,,
27333,GDMY-0218S,1,1662,577,order1,0.958974,4,,,,
27384,XXB-0215S,1,765,489,order1,0.374085,4,,,,
7664,YTM-0218S,1,1165,48,order10,0.05592,8,,,,
7683,YTM-0215S,1,488,158,order10,0.077104,8,,,,
7722,YTM-0218S,1,736,384,order10,0.282624,8,,,,
7760,YTM-0218S,1,736,395,order10,0.29072,8,,,,
7946,YTM-0218S,1,736,382,order10,0.281152,8,,,,
7970,YTM-0215S,1,488,158,order10,0.077104,8,,,,
8040,YTM-0218S,1,540,580,order10,0.3132,8,,,,
8061,YTM-0218S,1,540,385,order10,0.2079,8,,,,
8098,YTM-0215S,1,488,158,order10,0.077104,8,,,,
8175,YTM-0218S,1,762,579,order10,0.441198,8,,,,
8189,YTM-0218S,1,540,580,order10,0.3132,8,,,,
8231,YTM-0218S,1,1165,48,order10,0.05592,8,,,,
8389,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
8437,YTM-0218S,1,282,48,order10,0.013536,8,,,,
8507,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
8511,YTM-0218S,1,762,579,order10,0.441198,8,,,,
8530,YTM-0218S,1,1884,395,order10,0.74418,8,,,,
8574,YTM-0218S,1,735,365,order10,0.268275,8,,,,
8575,YTM-0218S,1,812,38,order10,0.030856,8,,,,
8613,YTM-0215S,1,521.5,362,order10,0.188783,8,,,,
8666,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
8814,YTM-0215S,1,706,489,order10,0.345234,8,,,,
8815,YTM-0215S,1,706,489,order10,0.345234,8,,,,
8838,YTM-0218S,1,762,58,order10,0.044196,8,,,,
8839,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
8841,YTM-0218S,1,762,579,order10,0.441198,8,,,,
8860,YTM-0218S,1,540,580,order10,0.3132,8,,,,
8863,YTM-0218S,1,1165,48,order10,0.05592,8,,,,
8938,YTM-0218S,1,1948,385,order10,0.74998,8,,,,
8970,YTM-0218S,1,536.5,382,order10,0.204943,8,,,,
9015,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
9033,YTM-0218S,1,540,580,order10,0.3132,8,,,,
9053,YTM-0215S,1,521.5,762,order10,0.397383,8,,,,
9116,YTM-0218S,1,1988,38,order10,0.075544,8,,,,
9219,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
9225,YTM-0215S,1,521.5,736,order10,0.383824,8,,,,
9245,YTM-0215S,1,488,158,order10,0.077104,8,,,,
9284,YTM-0218S,1,362,579,order10,0.209598,8,,,,
9306,YTM-0218S,1,1165,48,order10,0.05592,8,,,,
9331,YTM-0218S,1,798,38,order10,0.030324,8,,,,
9377,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
9493,YTM-0218S,1,735,365,order10,0.268275,8,,,,
9497,YTM-0218S,1,762,579,order10,0.441198,8,,,,
9516,YTM-0218S,1,1884,395,order10,0.74418,8,,,,
9521,YTM-0218S,1,736,58,order10,0.042688,8,,,,
9538,YTM-0218S,1,762,58,order10,0.044196,8,,,,
9561,YTM-0215S,1,1851,762,order10,1.410462,8,,,,
9613,YTM-0218S,1,1948,385,order10,0.74998,8,,,,
9676,YTM-0218S,1,362,58,order10,0.020996,8,,,,
9678,YTM-0218S,1,795,198,order10,0.15741,8,,,,
9716,YTM-0218S,1,536.5,382,order10,0.204943,8,,,,
9730,YTM-0218S,1,534,395,order10,0.21093,8,,,,
9750,YTM-0215S,1,1851,762,order10,1.410462,8,,,,
9780,YTM-0218S,1,540,580,order10,0.3132,8,,,,
9791,YTM-0218S,1,2038,38,order10,0.077444,8,,,,
9818,YTM-0218S,1,735,365,order10,0.268275,8,,,,
9907,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
9959,YTM-0215S,1,521.5,762,order10,0.397383,8,,,,
10019,YTM-0218S,1,540,580,order10,0.3132,8,,,,
10068,YTM-0218S,1,282,48,order10,0.013536,8,,,,
10150,YTM-0218S,1,1884,395,order10,0.74418,8,,,,
10157,YTM-0218S,1,736,384,order10,0.282624,8,,,,
10171,YTM-0218S,1,795,198,order10,0.15741,8,,,,
10213,YTM-0218S,1,761,560,order10,0.42616,8,,,,
10214,YTM-0218S,1,795,198,order10,0.15741,8,,,,
10230,YTM-0218S,1,762,579,order10,0.441198,8,,,,
10231,YTM-0215S,1,488,158,order10,0.077104,8,,,,
10252,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
10286,YTM-0218S,1,735,365,order10,0.268275,8,,,,
10313,YTM-0218S,1,761,560,order10,0.42616,8,,,,
10406,YTM-0218S,1,761,560,order10,0.42616,8,,,,
10441,YTM-0215S,1,1851,362,order10,0.670062,8,,,,
10469,YTM-0218S,1,736,395,order10,0.29072,8,,,,
10526,YTM-0218S,1,282,48,order10,0.013536,8,,,,
10528,YTM-0218S,1,540,580,order10,0.3132,8,,,,
10593,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
10662,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
10771,YTM-0218S,1,762,58,order10,0.044196,8,,,,
10819,YTM-0218S,1,762,58,order10,0.044196,8,,,,
10859,YTM-0218S,1,762,579,order10,0.441198,8,,,,
10883,YTM-0218S,1,362,579,order10,0.209598,8,,,,
10950,YTM-0218S,1,762,579,order10,0.441198,8,,,,
11032,YTM-0215S,1,705,132.5,order10,0.093413,8,,,,
11138,YTM-0218S,1,1884,395,order10,0.74418,8,,,,
11139,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
11186,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
11305,YTM-0218S,1,362,58,order10,0.020996,8,,,,
11326,YTM-0215S,1,1851,736,order10,1.362336,8,,,,
11364,YTM-0218S,1,282,48,order10,0.013536,8,,,,
11425,YTM-0218S,1,735,365,order10,0.268275,8,,,,
11426,YTM-0218S,1,540,385,order10,0.2079,8,,,,
11443,YTM-0218S,1,736,384,order10,0.282624,8,,,,
11471,YTM-0215S,1,705,132.5,order10,0.093413,8,,,,
11475,YTM-0218S,1,736,382,order10,0.281152,8,,,,
11587,YTM-0215S,1,706,489,order10,0.345234,8,,,,
11673,YTM-0218S,1,762,58,order10,0.044196,8,,,,
11868,YTM-0215S,1,705,132.5,order10,0.093413,8,,,,
11936,YTM-0218S,1,540,580,order10,0.3132,8,,,,
12018,YTM-0218S,1,1948,580,order10,1.12984,8,,,,
12019,YTM-0218S,1,1884,395,order10,0.74418,8,,,,
12103,YTM-0215S,1,1851,762,order10,1.410462,8,,,,
12118,YTM-0218S,1,761,560,order10,0.42616,8,,,,
12207,YTM-0218S,1,762,579,order10,0.441198,8,,,,
12213,YTM-0218S,1,762,58,order10,0.044196,8,,,,
12295,YTM-0218S,1,534,395,order10,0.21093,8,,,,
12408,YTM-0218S,1,761,560,order10,0.42616,8,,,,
12425,YTM-0215S,1,488,158,order10,0.077104,8,,,,
12449,YTM-0218S,1,362,579,order10,0.209598,8,,,,
12475,YTM-0215S,1,521.5,762,order10,0.397383,8,,,,
12494,YTM-0218S,1,361,560,order10,0.20216,8,,,,
12525,YTM-0218S,1,536.5,395,order10,0.211918,8,,,,
12538,YTM-0218S,1,736,58,order10,0.042688,8,,,,
12601,YTM-0218S,1,361,560,order10,0.20216,8,,,,
12615,YTM-0218S,1,762,579,order10,0.441198,8,,,,
32482,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
32526,NBSY-0218S,1,460,377,order100,0.17342,17,,,,
32614,NBSY-0215S,1,301.5,460,order100,0.13869,17,,,,
32816,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
33565,NBSY-0215S,1,403,92.5,order100,0.037278,17,,,,
33684,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
34011,NBSY-0218S,1,380,378,order100,0.14364,17,,,,
34083,5-0218S,1,493,155,order100,0.076415,17,,,,
34110,NBSY-0218S,1,498,398,order100,0.198204,17,,,,
34111,NBSY-0215S,1,403,92.5,order100,0.037278,17,,,,
34114,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
34214,NBSY-0215S,1,404,339,order100,0.136956,17,,,,
34307,5-0218S,1,493,155,order100,0.076415,17,,,,
34363,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
34386,5-0218S,1,493,155,order100,0.076415,17,,,,
34459,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
34481,NBSY-0215S,1,301.5,460,order100,0.13869,17,,,,
34515,NBSY-0218S,1,460,58,order100,0.02668,17,,,,
34684,NBSY-0218S,1,380,378,order100,0.14364,17,,,,
34908,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
35071,NBSY-0218S,1,460,58,order100,0.02668,17,,,,
35222,5-0218S,1,493,155,order100,0.076415,17,,,,
35449,NBSY-0218S,1,498,398,order100,0.198204,17,,,,
35597,NBSY-0218S,1,380,378,order100,0.14364,17,,,,
36333,NBSY-0215S,1,403,92.5,order100,0.037278,17,,,,
36393,NBSY-0218S,1,460,58,order100,0.02668,17,,,,
36409,NBSY-0218S,1,460,58,order100,0.02668,17,,,,
36571,NBSY-0218S,1,460,377,order100,0.17342,17,,,,
36674,NBSY-0215S,1,404,339,order100,0.136956,17,,,,
36809,NBSY-0215S,1,404,339,order100,0.136956,17,,,,
36984,NBSY-0215S,1,338,118,order100,0.039884,17,,,,
37012,NBSY-0218S,1,380,378,order100,0.14364,17,,,,
37253,NBSY-0215S,1,404,339,order100,0.136956,17,,,,
37375,NBSY-0215S,1,403,92.5,order100,0.037278,17,,,,
32513,5-0218S,1,493,174.5,order101,0.086029,17,,,,
32573,NBSY-0218S,1,380,378,order101,0.14364,17,,,,
32838,NBSY-0218S,1,498,379,order101,0.188742,17,,,,
33022,5-0218S,1,493,174.5,order101,0.086029,17,,,,
33079,NBSY-0218S,1,460,58,order101,0.02668,17,,,,
33104,NBSY-0218S,1,460,58,order101,0.02668,17,,,,
33155,NBSY-0218S,1,460,377,order101,0.17342,17,,,,
33282,NBSY-0215S,1,338,118,order101,0.039884,17,,,,
33295,NBSY-0218S,1,380,378,order101,0.14364,17,,,,
33385,NBSY-0215S,1,301.5,460,order101,0.13869,17,,,,
33498,NBSY-0215S,1,338,118,order101,0.039884,17,,,,
34051,NBSY-0218S,1,460,58,order101,0.02668,17,,,,
34325,NBSY-0215S,1,404,339,order101,0.136956,17,,,,
34364,NBSY-0218S,1,380,378,order101,0.14364,17,,,,
34542,NBSY-0218S,1,498,379,order101,0.188742,17,,,,
34893,NBSY-0215S,1,301.5,460,order101,0.13869,17,,,,
35610,NBSY-0215S,1,338,118,order101,0.039884,17,,,,
35699,NBSY-0218S,1,380,378,order101,0.14364,17,,,,
36097,NBSY-0218S,1,459,358,order101,0.164322,17,,,,
36283,NBSY-0218S,1,459,358,order101,0.164322,17,,,,
36323,NBSY-0215S,1,338,118,order101,0.039884,17,,,,
36457,NBSY-0218S,1,460,377,order101,0.17342,17,,,,
36564,NBSY-0215S,1,403,92.5,order101,0.037278,17,,,,
37044,NBSY-0215S,1,403,92.5,order101,0.037278,17,,,,
37232,NBSY-0215S,1,404,339,order101,0.136956,17,,,,
37349,NBSY-0218S,1,460,58,order101,0.02668,17,,,,
32607,NBSY-0215S,1,779,212.5,order102,0.165538,17,,,,
32725,NBSY-0215S,1,780,239,order102,0.18642,17,,,,
32814,NBSY-0218S,1,280,327,order102,0.09156,17,,,,
32847,NBSY-0218S,1,280,327,order102,0.09156,17,,,,
32862,NBSY-0218S,1,836,326,order102,0.272536,17,,,,
32913,NBSY-0218S,1,262,836,order102,0.219032,17,,,,
33172,NBSY-0215S,1,779,212.5,order102,0.165538,17,,,,
33360,NBSY-0218S,1,873,348,order102,0.303804,17,,,,
33481,NBSY-0218S,1,280,327,order102,0.09156,17,,,,
33535,NBSY-0218S,1,262,836,order102,0.219032,17,,,,
33686,NBSY-0218S,1,262,836,order102,0.219032,17,,,,
33776,NBSY-0218S,1,836,326,order102,0.272536,17,,,,
33926,NBSY-0215S,1,238,238,order102,0.056644,17,,,,
33991,NBSY-0215S,1,238,238,order102,0.056644,17,,,,
34222,NBSY-0215S,1,238,238,order102,0.056644,17,,,,
34719,NBSY-0215S,1,238,238,order102,0.056644,17,,,,
34900,NBSY-0218S,1,873,348,order102,0.303804,17,,,,
34947,5-0218S,1,869,275.5,order102,0.23941,17,,,,
35104,NBSY-0215S,1,780,239,order102,0.18642,17,,,,
35489,NBSY-0218S,1,836,326,order102,0.272536,17,,,,
35979,5-0218S,1,275.5,869,order102,0.23941,17,,,,
36926,NBSY-0218S,1,873,348,order102,0.303804,17,,,,
37014,5-0218S,1,869,275.5,order102,0.23941,17,,,,
37072,NBSY-0218S,1,280,327,order102,0.09156,17,,,,
37137,NBSY-0218S,1,280,327,order102,0.09156,17,,,,
37161,NBSY-0218S,1,280,327,order102,0.09156,17,,,,
33248,NBSY-0218S,1,460,58,order103,0.02668,17,,,,
33405,NBSY-0218S,1,380,378,order103,0.14364,17,,,,
33407,NBSY-0215S,1,338,118,order103,0.039884,17,,,,
33484,NBSY-0218S,1,380,378,order103,0.14364,17,,,,
33568,NBSY-0218S,1,460,58,order103,0.02668,17,,,,
33620,NBSY-0215S,1,403,92.5,order103,0.037278,17,,,,
33667,NBSY-0218S,1,380,378,order103,0.14364,17,,,,
33907,5-0218S,1,493,174.5,order103,0.086029,17,,,,
33945,NBSY-0218S,1,459,358,order103,0.164322,17,,,,
34681,NBSY-0218S,1,460,58,order103,0.02668,17,,,,
34714,NBSY-0218S,1,498,379,order103,0.188742,17,,,,
34801,NBSY-0215S,1,338,118,order103,0.039884,17,,,,
34913,NBSY-0218S,1,498,379,order103,0.188742,17,,,,
34966,NBSY-0218S,1,460,58,order103,0.02668,17,,,,
35073,NBSY-0215S,1,404,339,order103,0.136956,17,,,,
35101,NBSY-0218S,1,380,378,order103,0.14364,17,,,,
35173,NBSY-0218S,1,460,377,order103,0.17342,17,,,,
35600,NBSY-0218S,1,460,377,order103,0.17342,17,,,,
35678,NBSY-0215S,1,404,339,order103,0.136956,17,,,,
35742,NBSY-0215S,1,301.5,460,order103,0.13869,17,,,,
36361,NBSY-0215S,1,338,118,order103,0.039884,17,,,,
36561,NBSY-0215S,1,301.5,460,order103,0.13869,17,,,,
37048,NBSY-0215S,1,338,118,order103,0.039884,17,,,,
37133,NBSY-0215S,1,403,92.5,order103,0.037278,17,,,,
37162,NBSY-0218S,1,459,358,order103,0.164322,17,,,,
37275,5-0218S,1,493,174.5,order103,0.086029,17,,,,
3589,QKQ-0218S,1,1426,58,order104,0.082708,22,,,,
3625,QKQ-0215S,1,1426,701,order104,0.999626,22,,,,
3642,QKQ-0215S,1,338,158,order104,0.053404,22,,,,
3741,QKQ-0218S,1,701,358,order104,0.250958,22,,,,
3825,QKQ-0218S,1,707.5,241,order104,0.170508,22,,,,
3844,QKQ-0215S,1,338,158,order104,0.053404,22,,,,
3959,QKQ-0215S,1,646,132.5,order104,0.085595,22,,,,
4276,QKQ-0215S,1,647,339,order104,0.219333,22,,,,
4316,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
4405,QKQ-0215S,1,647,339,order104,0.219333,22,,,,
4436,QKQ-0215S,1,647,339,order104,0.219333,22,,,,
4471,QKQ-0218S,1,1426,58,order104,0.082708,22,,,,
4630,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
4717,QKQ-0215S,1,646,132.5,order104,0.085595,22,,,,
4747,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
4816,QKQ-0215S,1,647,339,order104,0.219333,22,,,,
4879,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
5120,QKQ-0218S,1,1426,377,order104,0.537602,22,,,,
5256,QKQ-0215S,1,338,158,order104,0.053404,22,,,,
5421,QKQ-0215S,1,646,172.5,order104,0.111435,22,,,,
5641,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
6133,QKQ-0218S,1,707.5,241,order104,0.170508,22,,,,
6148,QKQ-0218S,1,1426,377,order104,0.537602,22,,,,
6460,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
6635,QKQ-0215S,1,646,172.5,order104,0.111435,22,,,,
6730,QKQ-0215S,1,338,158,order104,0.053404,22,,,,
6740,QKQ-0215S,1,647,339,order104,0.219333,22,,,,
6791,QKQ-0218S,1,707.5,241,order104,0.170508,22,,,,
6805,QKQ-0215S,1,646,172.5,order104,0.111435,22,,,,
6997,QKQ-0215S,1,646,172.5,order104,0.111435,22,,,,
7085,QKQ-0218S,1,707.5,241,order104,0.170508,22,,,,
7170,QKQ-0215S,1,647,339,order104,0.219333,22,,,,
7320,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
7346,QKQ-0218S,1,707.5,242,order104,0.171215,22,,,,
7530,QKQ-0218S,1,707.5,242,order104,0.171215,22,,,,
7549,QKQ-0215S,1,338,198,order104,0.066924,22,,,,
3735,HYBW-0215S,1,461,406,order105,0.187166,25,,,,
3788,QKQ-0218S,1,898,298,order105,0.267604,25,,,,
3838,QKQ-0218S,1,406,287,order105,0.116522,25,,,,
3932,QKQ-0218S,1,831,277.5,order105,0.230603,25,,,,
3987,QKQ-0218S,1,426,264,order105,0.112464,25,,,,
4019,QKQ-0218S,1,2133,297,order105,0.633501,25,,,,
4076,QKQ-0215S,1,346,239,order105,0.082694,25,,,,
4089,HYBW-0215S,1,1920,406,order105,0.77952,25,,,,
4109,QKQ-0218S,1,874,430,order105,0.37582,25,,,,
4147,QKQ-0218S,1,898,298,order105,0.267604,25,,,,
4165,QKQ-0218S,1,662,430,order105,0.28466,25,,,,
4166,QKQ-0218S,1,406,287,order105,0.116522,25,,,,
4184,QKQ-0215S,1,346,239,order105,0.082694,25,,,,
4197,QKQ-0218S,1,406,287,order105,0.116522,25,,,,
4231,QKQ-0218S,1,938,298,order105,0.279524,25,,,,
4378,QKQ-0218S,1,861,397,order105,0.341817,25,,,,
4482,QKQ-0218S,1,406,268,order105,0.108808,25,,,,
4553,QKQ-0218S,1,406,268,order105,0.108808,25,,,,
4554,QKQ-0218S,1,406,268,order105,0.108808,25,,,,
4567,QKQ-0218S,1,832,277.5,order105,0.23088,25,,,,
4595,QKQ-0218S,1,396,277.5,order105,0.10989,25,,,,
4764,QKQ-0218S,1,874,430,order105,0.37582,25,,,,
4765,QKQ-0215S,1,238,198,order105,0.047124,25,,,,
4821,QKQ-0218S,1,397,297,order105,0.117909,25,,,,
4829,QKQ-0218S,1,841,297,order105,0.249777,25,,,,
4952,QKQ-0215S,1,345,172.5,order105,0.059513,25,,,,
4975,QKQ-0218S,1,849,278,order105,0.236022,25,,,,
4993,QKQ-0218S,1,406,287,order105,0.116522,25,,,,
5058,QKQ-0218S,1,832,277.5,order105,0.23088,25,,,,
5059,QKQ-0218S,1,662,430,order105,0.28466,25,,,,
5145,QKQ-0218S,1,832,297,order105,0.247104,25,,,,
5171,QKQ-0215S,1,238,198,order105,0.047124,25,,,,
5203,QKQ-0215S,1,841,402,order105,0.338082,25,,,,
5271,QKQ-0215S,1,238,198,order105,0.047124,25,,,,
5339,QKQ-0215S,1,345,172.5,order105,0.059513,25,,,,
5356,QKQ-0218S,1,861,832,order105,0.716352,25,,,,
5358,HYBW-0215S,1,1920,406,order105,0.77952,25,,,,
5490,QKQ-0215S,1,345,172.5,order105,0.059513,25,,,,
5569,QKQ-0215S,1,238,198,order105,0.047124,25,,,,
5668,QKQ-0218S,1,832,297,order105,0.247104,25,,,,
5723,QKQ-0215S,1,841,850,order105,0.71485,25,,,,
5762,QKQ-0215S,1,346,239,order105,0.082694,25,,,,
5766,QKQ-0218S,1,898,298,order105,0.267604,25,,,,
5889,QKQ-0215S,1,238,198,order105,0.047124,25,,,,
5903,QKQ-0218S,1,898,298,order105,0.267604,25,,,,
5935,QKQ-0218S,1,662,430,order105,0.28466,25,,,,
5965,QKQ-0218S,1,406,268,order105,0.108808,25,,,,
6003,QKQ-0218S,1,406,58,order105,0.023548,25,,,,
6092,QKQ-0218S,1,840,278,order105,0.23352,25,,,,
6127,QKQ-0218S,1,406,58,order105,0.023548,25,,,,
6144,QKQ-0218S,1,397,297,order105,0.117909,25,,,,
6181,QKQ-0218S,1,832,297,order105,0.247104,25,,,,
6182,QKQ-0218S,1,406,58,order105,0.023548,25,,,,
6196,QKQ-0218S,1,898,298,order105,0.267604,25,,,,
6264,QKQ-0218S,1,2133,58,order105,0.123714,25,,,,
6333,QKQ-0218S,1,874,430,order105,0.37582,25,,,,
6358,QKQ-0218S,1,861,832,order105,0.716352,25,,,,
6393,QKQ-0218S,1,893,430,order105,0.38399,25,,,,
6473,QKQ-0218S,1,868,53,order105,0.046004,25,,,,
6594,QKQ-0218S,1,406,268,order105,0.108808,25,,,,
6697,QKQ-0218S,1,832,297,order105,0.247104,25,,,,
6775,QKQ-0218S,1,406,58,order105,0.023548,25,,,,
6792,QKQ-0218S,1,841,297,order105,0.249777,25,,,,
6829,QKQ-0218S,1,898,298,order105,0.267604,25,,,,
6852,QKQ-0218S,1,406,287,order105,0.116522,25,,,,
6878,QKQ-0215S,1,238,198,order105,0.047124,25,,,,
6903,QKQ-0218S,1,2397,53,order105,0.127041,25,,,,
7019,QKQ-0218S,1,938,298,order105,0.279524,25,,,,
7036,QKQ-0218S,1,406,287,order105,0.116522,25,,,,
7129,HYBW-0215S,1,461,406,order105,0.187166,25,,,,
7226,QKQ-0218S,1,426,264,order105,0.112464,25,,,,
7247,QKQ-0218S,1,2133,297,order105,0.633501,25,,,,
7433,QKQ-0218S,1,406,268,order105,0.108808,25,,,,
7437,QKQ-0218S,1,662,430,order105,0.28466,25,,,,
7470,QKQ-0218S,1,874,430,order105,0.37582,25,,,,
7488,QKQ-0215S,1,841,841,order105,0.707281,25,,,,
7498,QKQ-0218S,1,2133,58,order105,0.123714,25,,,,
7522,QKQ-0218S,1,831,277.5,order105,0.230603,25,,,,
7600,QKQ-0218S,1,426,264,order105,0.112464,25,,,,
3586,QKQ-0218S,1,837,268,order106,0.224316,13,,,,
3700,QKQ-0218S,1,173,380,order106,0.06574,13,,,,
3832,HYBW-0215S,1,398,837,order106,0.333126,13,,,,
3853,QKQ-0215S,1,689,92.5,order106,0.063733,13,,,,
4152,QKQ-0215S,1,689,92.5,order106,0.063733,13,,,,
4180,QKQ-0215S,1,288,118,order106,0.033984,13,,,,
4199,QKQ-0218S,1,746,78,order106,0.058188,13,,,,
4244,QKQ-0215S,1,154.5,765,order106,0.118193,13,,,,
4303,QKQ-0218S,1,837,287,order106,0.240219,13,,,,
