item_id,item_material,item_num,item_length,item_width,item_order
95,YSH-0225S,1,495.5,308,order182
96,NSLH-0218S,1,980,38,order378
97,NSLH-0215S,1,980,1155,order378
98,YSH-0218S,1,1934,550,order91
99,HT9-0218S,1,585,78,order132
100,YSH-0218SD,1,1396,58,order401
101,YSH-0218SD,1,790,58,order142
102,HT9-0215S,1,338,118,order396
104,YSH-0215S,1,538.5,239,order135
105,HT9-0218S,1,160,582,order132
106,QKQ-0218S,1,1741.5,382.5,order128
107,HT9-0218S,1,483,375,order73
108,YSH-0218S,1,552,147,order144
109,YSH-0215S,1,624,399,order25
110,MNH-0225S,1,772,596.5,order326
111,YSH-0218S,1,388,290,order401
112,YSH-0218S,1,944,425,order139
113,NSLH-0218S,1,462,429,order267
114,YSH-0218S,1,2378,38,order400
115,YSH-0218SD,1,2238,780,order393
116,YSH-0218S,1,498,944,order352
117,YSH-0215S,1,572,98,order105
118,HT9-0218S,1,1928,580,order73
119,HT9-0218S,1,2398,380,order380
120,NSLH-0218S,1,409,560,order373
121,YSH-0215S,1,1328,118,order352
122,HT9-0218S,1,395,48,order316
123,HT9-0218S,1,1477,58,order316
124,HT9-0215S,1,338,158,order391
125,YSH-0218S,1,748,310,order352
126,GDMY-0218S,1,133,526.5,order36
127,YSH-0218S,1,714,557,order194
128,YSH-0225S,1,1198,448,order355
129,NSLH-0218S,1,773,558,order375
130,YSH-0218SD,1,813,58,order262
131,HT9-0218S,1,952,58,order130
132,YSH-0218S,1,568,538,order93
133,YSH-0215S,1,438,118,order92
134,YSH-0218SD,1,872,577,order392
135,YSH-0218S,1,894,358,order137
136,YSH-0215S,1,404,339,order394
137,YSH-0215S,1,387.5,736,order182
138,HT9-0215S,1,195,503.5,order72
139,YSH-0218S,1,552,328,order204
140,YSH-0218S,1,981,345,order25
141,HT9-0218S,1,360.5,183.5,order74
142,HT9-0218S,1,483,375,order74
143,YSH-0218S,1,845,348,order133
144,YSH-0215S,1,607,52.5,order352
145,YSH-0218S,1,2088,561,order25
146,YSH-0218SD,1,1252,58,order13
147,NSLH-0218S,1,1462,58,order267
148,YSH-0215S,1,326,439,order91
149,YSH-0215S,1,850,172.5,order42
150,HT9-0218S,1,195,327,order72
151,YSH-0218S,1,715,517,order13
152,YSH-0218S,1,643,427.5,order400
153,YSH-0218S,1,381,577,order142
154,XXB-0218S,1,2146,423.5,order201
155,YSH-0215S,1,538.5,239,order135
156,MNH-0218S,1,688,329.5,order137
157,YSH-0218S,1,1878,563,order138
158,YSH-0218S,1,465,364,order91
159,HT9-0218S,1,498,580,order73
160,YSH-0218S,1,846,558,order210
161,HT9-0218S,1,741,290,order391
162,YSH-0218S,1,668.5,131.5,order352
163,HT9-0218S,1,980,58,order397
164,HT9-0218S,1,552,38,order131
165,YSH-0218S,1,701,425,order139
166,GHSS-0218S,1,2398,198,order126
167,YSH-0218SD,1,558,58,order180
168,NJHL-0218S,1,298,248,order13
169,YSH-0218S,1,404,48,order326
170,YSH-0218S,1,1398,38,order141
171,HT9-0218S,1,621,176,order396
172,YSH-0218S,1,486.5,580,order36
173,XXB-0218SD,1,1943,58,order42
174,YSH-0218S,1,598,558,order180
175,HT9-0215S,1,2301,500,order224
176,HT9-0215S,1,238,158,order391
177,YSH-0215S,1,488,78,order352
178,YSH-0218S,1,881,315,order231
179,YSH-0218S,1,419,306,order137
180,YSH-0215S,1,631,212.5,order401
181,YSH-0218S,1,454.5,275,order326
182,HT9-0215S,1,455.5,132.5,order72
183,YSH-0218SD,1,851,58,order231
184,NSLH-0218S,1,846.5,579,order373
185,HT9-0215S,1,300,439,order147
186,YSH-0218S,1,1396,289,order401
187,YSH-0215S,1,238,238,order401
188,HT9-0215S,1,438,118,order106
189,YSH-0218SD,1,1454.5,390,order105
190,YSH-0218SD,1,355,58,order393
191,YSH-0218S,1,1018,380,order303
192,YSH-0218S,1,2084,358,order326
193,ZZL-0218S,1,451,360,order352
194,YSH-0218SD,1,1458,830,order105
195,PGBL-0418S,1,642.5,374,order380
196,YSH-0218S,1,2398,38,order266
197,YDH-0218S,1,481,148,order92
198,YSH-0218S,1,875.5,352,order133
199,HT9-0218S,1,1918,148,order396
200,HT9-0218S,1,1708,58,order130
201,HT9-0218S,1,1898,38,order124
202,YSH-0218SD,1,659,84,order314
203,YSH-0218S,1,778,541,order138
204,YSH-0218SD,1,971,520,order143
205,YSH-0215S,1,750,389,order139
206,HT9-0218S,1,2376,397,order150
207,HT9-0218S,1,1160,537,order132
208,HT9-0218S,1,2343,560,order147
209,HT9-0218S,1,928,379,order380
210,YSH-0215S,1,388,118,order141
212,HT9-0218S,1,342,397,order380
213,YSH-0218S,1,449,542,order91
214,HT9-0215S,1,338,158,order391
215,YSH-0215S,1,951,448,order352
216,NSLH-0218S,1,544,247,order67
217,YSH-0218S,1,1998,558,order91
218,YSH-0218S,1,1998,558,order91
219,HT9-0215S,1,338,158,order157
220,HT9-0218S,1,1864,427.5,order73
222,YSH-0215S,1,439.5,335,order326
223,NSLH-0218S,1,1494,495,order267
224,YSH-0215S,1,1829.5,855,order180
225,MNH-0218S,1,323,378,order135
226,YSH-0215S,1,537.5,52.5,order135
227,YSH-0215S,1,288,238,order137
228,YSH-0218SD,1,362,539,order394
229,HT9-0215S,1,438,118,order106
230,YSH-0215S,1,365,92.5,order136
231,YSH-0218S,1,1998,528,order141
232,NSLH-0218S,1,1498,430,order267
233,YSH-0215S,1,1829.5,410,order180
234,MNH-0215S,1,305,524,order135
235,HT9-0218S,1,538,530,order124
236,YSH-0218S,1,1093,38,order304
237,YSH-0218SD,1,572,58,order105
238,YSH-0215S,1,514,389,order355
239,YSH-0218S,1,559,467,order91
241,YSH-0218S,1,846,560,order210
242,HT9-0218S,1,700,58,order397
243,YSH-0218S,1,846,579,order210
244,YSH-0218SD,1,1423,58,order138
245,NSLH-0218S,1,818,296.5,order375
246,GDMY-0218S,1,490,578,order36
247,YSH-0218S,1,272,327,order182
248,YSH-0218S,1,736,308,order182
249,YSH-0218S,1,393,328,order179
250,HT9-0218S,1,811.5,286,order132
251,YSH-0218SD,1,555,78,order104
252,HT9-0218S,1,375,48,order201
253,YSH-0215S,1,138,568,order93
254,YSH-0218S,1,1934,469.5,order91
255,YSH-0218S,1,998,38,order137
256,YSH-0218S,1,2088,558,order25
257,YSH-0218S,1,881,315,order231
258,HT9-0218S,1,241.5,327,order321
260,YSH-0215S,1,338,158,order394
261,MNH-0218S,1,1762,349,order137
262,YSH-0218S,1,736,347,order182
263,NJHL-0218S,1,482,829.5,order13
264,YSH-0215S,1,910,882,order231
265,NSLH-0218S,1,438,580,order374
266,YSH-0218S,1,747,758,order393
267,YSH-0215S,1,2281,362,order394
268,YSH-0218S,1,153.1,792,order140
269,YSH-0215S,1,438,158,order210
270,YSH-0218S,1,288.5,295,order126
271,NSLH-0218S,1,2208,58,order373
272,XMJQ-0218S,1,571,38,order126
273,HT9-0218S,1,859,58,order147
275,YSH-0218S,1,736,347,order182
276,YSH-0218S,1,493,205,order394
277,YSH-0218S,1,988,380,order352
278,YSH-0218S,1,693,204,order221
279,HT9-0218S,1,871,58,order124
280,HT9-0218S,1,980,578,order397
281,YSH-0218S,1,552,328,order204
282,YSH-0218S,1,588,68,order204
283,HT9-0215S,1,338,198,order62
284,YSH-0218S,1,634.5,427,order355
285,YSH-0218S,1,736,294.5,order182
286,YSH-0215S,1,851,489,order42
287,HT9-0218S,1,498,448,order149
288,YSH-0215S,1,361,801,order140
289,HT9-0218S,1,835,560,order74
290,HT9-0218S,1,344,48,order147
291,YSH-0215S,1,238,238,order401
292,YSH-0218SD,1,394,58,order136
293,HT9-0218S,1,1252,459.5,order201
294,HT9-0218S,1,426,380,order380
296,YSH-0218SD,1,736,58,order182
297,YSH-0218S,1,462,379,order27
298,YSH-0218S,1,542.5,437,order210
299,YSH-0215S,1,948,662,order25
300,YSH-0218SD,1,2054,58,order104
301,YSH-0218S,1,725,328,order204
302,YSH-0218S,1,2384,368,order180
303,MNH-0215S,1,697.5,348,order326
304,YSH-0218S,1,2398,38,order27
305,YDH-0218S,1,482,58,order92
306,YSH-0215S,1,438,78,order314
307,YSH-0218S,1,521,540,order326
308,YSH-0218SD,1,272,58,order182
309,YSH-0218S,1,462,379,order27
310,NJHL-0218S,1,479,432,order27
311,NSLH-0218S,1,2112,578,order267
312,YSH-0218SD,1,1764,58,order139
313,YSH-0218S,1,512,245,order138
314,YSH-0218S,1,2274,414.2,order132
315,YSH-0218S,1,643,427.5,order400
316,MNH-0218S,1,1144,395,order126
317,YSH-0218S,1,592,133.5,order93
319,YSH-0218SD,1,440,58,order210
320,HT9-0218S,1,527.5,208.5,order72
321,HT9-0218S,1,195,327,order72
322,YSH-0215S,1,353.5,870,order137
323,YSH-0218S,1,728,290,order401
324,YSH-0218S,1,560,495,order91
325,YSH-0218S,1,1036,380,order27
326,YSH-0218S,1,1036,380,order27
327,HT9-0218S,1,2136,580,order278
328,HT9-0218S,1,2398,338,order224
329,YSH-0218S,1,272,274.5,order182
330,YSH-0218S,1,456,472,order141
331,XXB-0215S,1,438,118,order373
332,YSH-0218S,1,522,460,order27
333,YSH-0218S,1,419,306,order137
334,YSH-0218S,1,381,577,order142
335,HT9-0215S,1,559.5,92.5,order396
336,YSH-0218S,1,384,308,order179
337,YSH-0215S,1,2261,402,order13
338,HT9-0215S,1,2251,980,order316
339,MNH-0218S,1,306,348,order137
340,HT9-0218S,1,1913,38,order354
341,HT9-0218S,1,721,360,order380
342,YSH-0218S,1,462,379,order27
343,HT9-0218S,1,362,360,order380
344,HT9-0215S,1,348,118,order187
345,YSH-0218S,1,753,535,order92
346,YSH-0218S,1,827.5,456,order91
347,HT9-0225S,1,1098,398,order61
348,YSH-0218S,1,548,38,order137
349,HT9-0215S,1,2241,675,order150
350,YSH-0225S,1,1021,328,order182
351,YSH-0218S,1,961,929.5,order266
352,HT9-0218S,1,746,559,order128
353,YSH-0218S,1,461,559.5,order13
354,HT9-0215S,1,488,78,order132
355,HT9-0215S,1,2246,424,order147
356,YMH-0218S,1,2279,439,order147
357,NSLH-0215S,1,618,462,order267
358,YSH-0215S,1,458,398,order299
359,YSH-0218S,1,1796,38,order36
360,YSH-0218S,1,2298,398,order263
361,YSH-0218SD,1,2260,58,order263
362,YSH-0218SD,1,1458,830,order105
363,HT9-0215S,1,1145.5,966,order395
364,YSH-0215S,1,540,132.5,order326
365,HT9-0218S,1,160,582,order132
366,HT9-0218S,1,484,308,order147
367,JH-0215S,1,387.5,349,order182
368,HT9-0218S,1,871,58,order124
369,HT9-0218S,1,2343,560,order147
370,HT9-0218S,1,463,344,order147
371,YSH-0218S,1,457,521,order141
372,NSLH-0215S,1,301.5,450.5,order376
374,YSH-0215S,1,488,158,order393
376,YSH-0218S,1,693,205,order221
377,HT9-0215S,1,463,172.5,order61
378,YSH-0218S,1,892,522.5,order42
379,YSH-0215S,1,454,402,order315
380,YSH-0215S,1,238,78,order135
381,YSH-0218S,1,917,270,order401
382,QKQ-0218S,1,1741.5,382.5,order128
383,YSH-0218S,1,647,58,order138
384,YSH-0218S,1,1692,375,order400
385,HT9-0218S,1,928,379,order380
386,YSH-0215S,1,338,78,order83
387,YSH-0215S,1,338,158,order180
388,YDBS-0218S,1,1234,750,order194
391,YSH-0218SD,1,597.5,530,order266
392,XXB-0218S,1,1934,432.8,order373
393,YSH-0215S,1,488,118,order394
394,YSH-0215S,1,438,78,order314
395,YSH-0215S,1,1226,882,order231
396,YSH-0215S,1,488,198,order42
397,YSH-0215S,1,580,380,order266
398,YSH-0218S,1,374,38,order126
399,YSH-0218S,1,941,542,order91
401,MNH-0218S,1,305,377,order135
402,HT9-0218S,1,841,489,order149
403,YSH-0218SD,1,2282,450,order392
404,YSH-0218S,1,551,328,order204
405,YSH-0218SD,1,400,58,order352
406,YDH-0218S,1,1998,168,order92
407,NSLH-0218S,1,1462,186.5,order267
408,YSH-0218SD,1,598,77,order326
409,YSH-0218S,1,1036,380,order27
410,HT9-0215S,1,479.5,836,order74
411,YSH-0218S,1,362,408,order352
412,HT9-0215S,1,630,404,order201
413,HT9-0218S,1,2398,398,order380
414,YSH-0218S,1,777,525,order141
415,YSH-0218S,1,647,404,order393
416,YSH-0218SD,1,402,58,order315
417,HT9-0218S,1,861,58,order106
418,YSH-0218S,1,1162,525,order25
419,YSH-0218S,1,404,48,order326
420,YSH-0215S,1,1991,677,order25
421,YSH-0218S,1,1025.5,480,order303
422,HT9-0215S,1,447,132.5,order72
423,HT9-0218S,1,700,374.9,order397
424,HT9-0218S,1,700,376,order397
425,YSH-0215S,1,632,389,order266
426,YSH-0215S,1,768.5,552,order144
427,HT9-0215S,1,2001,871,order124
428,YSH-0218S,1,647,540,order138
429,YSH-0218S,1,962,557,order91
430,YSH-0218S,1,393,328,order179
431,YSH-0218S,1,2398,38,order13
432,HT9-0218S,1,740,388,order187
433,HT9-0218S,1,426,380,order380
434,HT9-0218S,1,424,559,order147
435,HT9-0218S,1,585,38,order149
436,PBWS-0418S,1,297,597,order400
437,YSH-0218SD,1,771,58,order141
438,YSH-0218S,1,2038,523,order143
439,YSH-0218S,1,451,510,order266
440,HT9-0218S,1,762,58,order278
441,YSH-0218S,1,2034,445,order124
442,HT9-0218S,1,1975,128,order151
443,HT9-0218S,1,1155,128,order151
444,YDH-0218S,1,556.5,168,order92
445,YSH-0218S,1,492,220,order394
446,HT9-0218S,1,389,446,order380
447,YSH-0218S,1,2384,434,order180
448,HT9-0218S,1,877,292,order354
449,HT9-0218S,1,1928,580,order74
450,HT9-0215S,1,299,92.5,order147
451,YSH-0215S,1,338,78,order400
452,YSH-0218S,1,736.5,426.3,order136
453,YSH-0218S,1,876,306,order137
454,YSH-0218S,1,2045,348,order182
455,YSH-0218S,1,498,530,order352
456,YDH-0218S,1,883,277.5,order91
457,HT9-0218S,1,836,579,order73
458,HT9-0218S,1,413.5,579,order74
459,FMB-0218S,1,660,427,order221
460,YSH-0215S,1,488,78,order352
461,HT9-0218S,1,538,530,order124
462,YSH-0218S,1,827.5,456,order91
463,YSH-0218S,1,353.5,324,order137
465,YDH-0215S,1,438,78,order91
466,HT9-0218S,1,1159,492.5,order395
467,YSH-0218SD,1,595,440,order266
468,HT9-0218S,1,498,580,order74
469,HT9-0218S,1,538,154.5,order132
470,HT9-0218S,1,934,358,order380
471,XMJQ-0225S,1,699,478,order83
472,YSH-0218S,1,1848,558,order180
473,XXB-0218S,1,598,38,order27
474,YSH-0218S,1,598,558,order194
475,YSH-0215S,1,288,118,order182
476,HT9-0218S,1,836,579,order73
477,ZZL-0218S,1,998,380,order352
478,HT9-0218S,1,527.5,208.5,order72
479,HT9-0218S,1,1560,307,order72
480,HT9-0218S,1,2360,377,order62
481,YSH-0218S,1,2045,558,order194
482,XMJQ-0218S,1,578,38,order126
483,YSH-0218S,1,518,48,order13
484,YSH-0215S,1,288,158,order179
485,HT9-0218S,1,160,581,order132
486,NSLH-0218S,1,765,308,order378
487,HT9-0218S,1,427,344,order147
488,XXB-0218S,1,404.5,423.5,order201
490,YSH-0218S,1,404,48,order393
491,YSH-0218S,1,219,268,order194
492,NSLH-0218S,1,2086,58,order377
493,HT9-0215S,1,685,132.5,order391
494,YSH-0215S,1,454,132.5,order210
495,YSH-0218S,1,988,380,order352
496,YSH-0218S,1,897,380,order304
497,HT9-0218S,1,1860,58,order321
498,NSLH-0218S,1,2188,98,order373
499,MNH-0218S,1,306,348,order137
500,YSH-0218S,1,2045,348,order182
501,HT9-0218S,1,430,488,order149
502,YSH-0218S,1,622,528,order314
503,YSH-0218S,1,298,378,order401
504,YSH-0218S,1,790,577,order142
505,YSH-0218SD,1,621,78,order91
506,YSH-0218S,1,1860,561,order91
507,YSH-0218S,1,785.5,486,order139
508,HT9-0218S,1,363.5,376,order396
509,YSH-0218S,1,829,548,order299
510,YSH-0218S,1,338,504.5,order194
511,YSH-0215S,1,338,158,order394
512,HT9-0218S,1,455,376,order157
513,YSH-0218S,1,546,580,order210
514,YSH-0215S,1,632,389,order266
515,XXB-0218S,1,1969,384,order374
516,YSH-0218SD,1,1961,555,order104
517,YSH-0218S,1,404,48,order393
518,YSH-0218S,1,354,758,order393
519,YSH-0218SD,1,2163,58,order299
520,YSH-0218S,1,371.5,325,order137
521,HT9-0218S,1,861,575,order106
522,YSH-0218S,1,1221.5,426.3,order136
523,HT9-0218S,1,1918,398,order396
524,YSH-0218SD,1,821,567,order299
525,XXB-0215S,1,388,118,order201
526,HT9-0218S,1,502,288,order132
527,ZYF-0218S,1,1808,560,order314
528,YSH-0218S,1,201,48,order315
529,NSLH-0218S,1,786,558,order67
530,HT9-0218S,1,608,275,order354
531,HT9-0218S,1,2318,377,order397
532,YSH-0215S,1,1328,198,order352
533,NSLH-0218S,1,438,580,order374
534,YSH-0215S,1,2098,471,order314
535,XXB-0218S,1,1934,432.8,order373
536,XXB-0218S,1,598,480,order27
537,HT9-0218S,1,372,154.5,order132
538,GDMY-0215S,1,2051,491,order36
539,YSH-0215S,1,1439.5,752,order105
540,HT9-0218S,1,1410,58,order380
541,YSH-0218S,1,846,560,order210
542,NSLH-0218S,1,1494,495,order267
543,XMJQ-0218S,1,558,377,order83
544,YSH-0218S,1,272,327,order182
545,HT9-0215S,1,519,339,order62
546,YSH-0218SD,1,380,62,order352
547,YSH-0215S,1,767,92.5,order263
548,YSH-0218S,1,846,579,order210
549,HT9-0218S,1,498,580,order73
550,YSH-0218S,1,2394,437,order210
551,HT9-0218S,1,2303,589,order130
552,HT9-0218S,1,498,580,order74
553,HT9-0218S,1,385,58,order291
554,YSH-0215S,1,385,489,order36
555,YSH-0218SD,1,971,520,order143
556,NSLH-0218S,1,2098,598,order267
557,YSH-0218SD,1,2144,485,order266
558,HT9-0218S,1,552,277,order187
559,PKQL-0418S,1,2312,429.2,order106
560,HT9-0218S,1,505,38,order132
561,HT9-0218S,1,344,48,order147
562,YMH-0218S,1,2279,439,order147
563,YSH-0215S,1,251,439,order104
564,YSH-0218S,1,341,360,order400
565,YSH-0215S,1,789,172.5,order210
566,JH-0218S,1,996,458,order182
567,YSH-0215S,1,2225.5,424,order210
568,YSH-0215S,1,338,118,order263
569,YSH-0215S,1,385,489,order36
570,YSH-0218S,1,1438,38,order394
571,HT9-0218S,1,762,579,order278
572,HT9-0215S,1,1531,742,order391
573,YSH-0218SD,1,762,58,order104
574,HT9-0215S,1,706,339,order391
575,YSH-0218S,1,647,404,order393
576,YSH-0218S,1,341,270,order401
577,PBWS-0418S,1,1747,397,order400
578,YSH-0218S,1,143.5,356,order400
579,XXB-0218S,1,1608,38,order27
580,YSH-0218S,1,861,307.5,order137
581,YSH-0218S,1,606,378,order400
582,YSH-0218S,1,761,295,order126
583,YSH-0218S,1,2335.5,434.5,order149
584,HT9-0218S,1,500,317,order224
585,YSH-0215S,1,676,339,order180
586,YSH-0218SD,1,988,58,order180
587,HT9-0215S,1,338,198,order62
588,HT9-0218S,1,836,58,order73
589,YSH-0218SD,1,762,537,order104
590,YSH-0215S,1,492.5,371,order25
591,YSH-0218S,1,932,379,order303
592,ZZL-0215S,1,1579.5,452,order352
593,HT9-0215S,1,447,132.5,order72
594,YSH-0218S,1,1018,380,order303
595,YSH-0218S,1,345,439,order180
596,YSH-0218S,1,410,538,order180
597,HT9-0215S,1,141,570,order132
598,SRBW-0218S,1,981,48,order187
599,HT9-0218S,1,446,398,order129
600,HT9-0218S,1,412.5,560,order74
601,HT9-0215S,1,457,52.5,order132
602,YSH-0218SD,1,844,58,order136
603,HT9-0218S,1,788,58,order201
604,HT9-0215S,1,1421,576,order380
605,HT9-0215S,1,363,607,order396
606,YSH-0218S,1,832,458,order180
607,HT9-0218S,1,952,588,order130
608,HT9-0215S,1,338,198,order61
609,YSH-0218S,1,331.5,377,order263
610,YSH-0218S,1,798,580,order13
611,YSH-0218SD,1,457,58,order141
612,YSH-0225S,1,772,637,order314
613,YSH-0218S,1,492,220,order394
614,HT9-0218S,1,2318,377,order397
615,HT9-0218S,1,442,58,order130
616,HT9-0225S,1,1198,578,order132
617,HT9-0215S,1,488,118,order132
618,YSH-0218S,1,871,558,order392
619,YSH-0218SD,1,588,68,order266
620,HT9-0218S,1,160,581,order132
621,HT9-0218S,1,2313,278,order187
623,NSLH-0215S,1,801.5,1023,order377
624,NSLH-0218S,1,988,257,order375
625,YSH-0218S,1,771,555,order141
626,YSH-0218S,1,474.5,501,order143
627,HT9-0218S,1,1630,38,order131
629,YSH-0218S,1,514.5,424.5,order36
630,YSH-0218S,1,345,178,order92
631,NSLH-0218S,1,749,579,order374
632,YSH-0218SD,1,2057,58,order104
633,HT9-0218S,1,2098,38,order224
634,YSH-0218S,1,812,578,order262
635,YSH-0218SD,1,2398,68,order266
636,YSH-0218S,1,762,462,order104
637,MNH-0225S,1,772,596.5,order326
638,SRBW-0218S,1,981,48,order187
639,YSH-0218S,1,478,198,order210
640,YSH-0215S,1,288,118,order182
641,ZYF-0218S,1,561,393,order314
642,ZZL-0225S,1,1612,548,order67
643,YSH-0215S,1,438,118,order91
644,NSLH-0218S,1,846.5,579,order373
645,MNH-0218S,1,1079,350,order137
646,HT9-0218S,1,395,48,order316
647,YSH-0215S,1,749,92.5,order139
648,YSH-0218S,1,728,290,order401
649,HT9-0215S,1,338,118,order396
650,YSH-0218S,1,301.5,476,order27
651,YSH-0218SD,1,892,58,order42
652,HT9-0218S,1,698,38,order106
653,NJHL-0215S,1,378.5,480,order27
654,YSH-0218S,1,2045,558,order194
655,HT9-0215S,1,244.5,575,order62
656,HT9-0215S,1,338,198,order62
657,HT9-0215S,1,479.5,836,order73
658,YSH-0218SD,1,2008,58,order179
659,YSH-0215S,1,636.5,430,order13
660,PKQL-0418SD,1,2397,57,order130
661,HT9-0215S,1,479.5,836,order74
662,HT9-0218S,1,979,558,order397
663,HT9-0218S,1,743,558,order132
664,YSH-0225S,1,2068,347,order182
665,YSH-0215S,1,634.5,570,order355
666,HT9-0218S,1,2398,380,order380
667,HT9-0218S,1,740,58,order187
668,HT9-0218S,1,873,598,order114
669,YSH-0218S,1,879.5,376,order400
670,YSH-0218S,1,844,298,order136
671,HT9-0218S,1,238,378,order380
672,YSH-0218S,1,777,525,order141
673,YSH-0218S,1,820,548,order299
674,YSH-0215S,1,488,198,order210
675,HT9-0218S,1,368,483,order129
676,YSH-0218SD,1,430,58,order13
677,YSH-0218SD,1,418,538,order104
679,YSH-0225S,1,734,497,order210
680,JH-0218S,1,349,308,order182
681,YSH-0218S,1,2321,48,order400
682,YSH-0215S,1,1965.5,736,order182
683,LMW-0218S,1,522,147,order141
684,YSH-0218S,1,458,560,order326
685,YSH-0215S,1,1789.5,522,order326
686,NSLH-0218S,1,360,560,order374
687,XXB-0218S,1,815,521,order377
688,5-0218S,1,2284,499.5,order316
689,MNH-0215S,1,305,524,order135
690,YSH-0218S,1,510,58,order138
691,YSH-0218SD,1,2282,450,order392
692,HT9-0218S,1,341,378,order380
693,HT9-0215S,1,1880,455,order396
694,HT9-0218S,1,500,317,order224
695,HT9-0218S,1,500,58,order224
696,YSH-0218S,1,598,478,order180
697,YSH-0218S,1,1848,478,order180
698,YSH-0218S,1,411,294.5,order126
699,HT9-0215S,1,1831,836,order74
700,ZZL-0218S,1,451,360,order352
701,HT9-0215S,1,288,158,order72
702,YSH-0225S,1,818,555,order92
703,NSLH-0218S,1,2368,580,order67
704,HT9-0215S,1,488,78,order132
705,HT9-0218S,1,790,53,order397
706,YSH-0218SD,1,460,58,order149
707,HT9-0218S,1,835,560,order73
708,YSH-0218S,1,862,327,order137
709,YSH-0215S,1,2111,962,order266
710,YSH-0218SD,1,1663,527,order266
711,YSH-0218S,1,594,199,order355
712,YSH-0218S,1,401,558,order194
713,YSH-0215S,1,488,198,order42
714,YMH-0218S,1,2398,38,order147
715,YSH-0218SD,1,844,317,order136
716,XXB-0218S,1,404.5,423.5,order201
717,YSH-0218S,1,342,289,order401
718,YSH-0215S,1,2141,355,order393
719,YMH-0215S,1,427,92.5,order147
720,HT9-0218S,1,397,375,order201
721,HT9-0218S,1,778,458,order187
723,HT9-0218S,1,1018,58,order130
724,YSH-0218S,1,311,538,order352
