批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
0,NJYH-0218S,0,33114,38,329,315,778
0,NJYH-0218S,0,33193,367,340,408.5,758.5
0,NJYH-0218S,0,33451,799,340,408.5,758.5
0,NJYH-0218S,0,33709,38,340,1167,758.5
0,NJYH-0218S,0,33817,0,1189,1925.5,340
0,NJYH-0218S,0,34010,378,664,1167,340
0,NJYH-0218S,0,34155,378,227,1507,315
0,NJYH-0218S,0,34586,605,408.5,1507,340
0,NJYH-0218S,0,34720,605,580,1507,312
0,NJYH-0218S,0,34769,605,329,1507,1144.5
0,NJYH-0218S,1,34785,0,48,0,315
0,NJYH-0218S,1,35295,48,408.5,0,340
0,NJYH-0218S,1,36031,0,873,340,436.5
0,NJYH-0218S,1,36065,0,665,776.5,359
0,NJYH-0218S,1,36391,873,340,0,665
0,NJYH-0218S,1,36451,873,38,665,1676
0,NJYH-0218S,1,36562,0,503,1135.5,348
0,NJYH-0218S,1,36683,503,340,1135.5,408.5
0,NJYH-0218S,1,37228,0,340,1483.5,758.5
0,NJYH-0218S,1,37276,0,1711,1483.5,340
0,NJYH-0218S,1,37327,0,758.5,1483.5,340
0,NJYH-0218S,1,37393,456.5,227,0,315
0,NJYH-0218S,1,37428,340,408.5,1823.5,340
0,NJYH-0218S,1,32527,683.5,48,0,315
0,NJYH-0218S,1,32680,0,665,2242,58
0,NJYH-0218S,2,33274,0,350,0,454.5
0,NJYH-0218S,2,33355,0,874,454.5,456
0,NJYH-0218S,2,33499,350,474,0,350
0,NJYH-0218S,2,33773,874,258,0,2308
0,NJYH-0218S,2,34327,874,475,0,1763
0,NJYH-0218S,3,34647,0,475,0,1763
0,NJYH-0218S,3,34762,475,498,0,1298
0,NJYH-0218S,3,35123,475,1763,0,457
0,NJYH-0218S,3,35317,475,350,1298,474
0,NJYH-0218S,3,35585,0,874,1772,456
0,NJYH-0218S,4,35808,0,350,0,454.5
0,NJYH-0218S,4,35999,0,1298,0,38
0,NJYH-0218S,4,36199,0,874,454.5,1726
0,NJYH-0218S,4,36222,0,457,454.5,1763
0,NJYH-0218S,4,36452,350,503,38,348
0,NJYH-0218S,5,36530,0,436.5,0,873
0,NJYH-0218S,5,36921,436.5,436.5,0,873
0,NJYH-0218S,5,36963,0,739,873,872
0,NJYH-0218S,5,37130,739,454.5,873,350
0,NJYH-0218S,5,32563,739,448.3,873,1592
0,NJYH-0218S,5,32809,739,1726,873,350
0,NJYH-0218S,6,33294,0,908.5,0,292.5
0,NJYH-0218S,6,33382,0,908.5,292.5,740
0,NJYH-0218S,6,33819,0,905,1032.5,448.3
0,NJYH-0218S,6,34102,0,445.5,1480.8,872
0,NJYH-0218S,6,34223,908.5,130,0,1598
0,NJYH-0218S,6,34300,445.5,448.3,1480.8,905
0,NJYH-0218S,7,34813,0,333.5,0,872
0,NJYH-0218S,7,35059,333.5,720,0,876.5
0,NJYH-0218S,7,35184,333.5,1332,0,739
0,NJYH-0218S,7,35782,333.5,448.3,0,1592
0,NJYH-0218S,8,35988,0,129,0,1332
0,NJYH-0218S,8,36076,129,458.5,0,905
0,NJYH-0218S,8,36330,129,1598,0,130
0,NJYH-0218S,8,36540,129,1578.5,0,129
0,NJYH-0218S,8,36557,129,1332,0,739
0,NJYH-0218S,8,36810,129,1592,0,458.5
0,NJYH-0218S,9,37419,0,411.5,0,846
0,NJYH-0218S,9,33420,0,846,846,411.5
0,NJYH-0218S,9,33850,411.5,184.5,0,325.5
0,NJYH-0218S,9,34815,596,411.5,0,846
0,NJYH-0218S,9,35196,0,526,1257.5,248.5
0,NJYH-0218S,9,35226,1007.5,198,0,526
0,NJYH-0218S,9,35645,846,325.5,846,184.5
0,NJYH-0218S,9,35720,0,846,1506,411.5
0,NJYH-0218S,9,35721,0,720,1917.5,433.5
0,NJYH-0218S,9,35787,846,154,1030.5,828
0,NJYH-0218S,9,35810,846,305,1030.5,2124
0,NJYH-0218S,9,35972,846,525.5,1030.5,198
0,NJYH-0218S,10,36034,0,548,0,330
0,NJYH-0218S,10,36175,548,198,0,525.5
0,NJYH-0218S,10,36413,746,363,0,329
0,NJYH-0218S,10,36882,746,308,329,372
0,NJYH-0218S,10,32531,0,766,701,308
0,NJYH-0218S,10,32571,0,348,701,1948
0,NJYH-0218S,10,32669,0,325.5,330,184.5
0,NJYH-0218S,10,32687,0,612,525.5,58
0,NJYH-0218S,10,32952,0,612,583.5,88
0,NJYH-0218S,10,33268,1109,38,0,1073
0,NJYH-0218S,10,33301,348,372,1009,308
0,NJYH-0218S,10,33326,348,1162,1009,247
0,NJYH-0218S,10,33459,348,828,1317,154
0,NJYH-0218S,10,33496,348,363,1471,329
0,NJYH-0218S,10,33531,711,309.5,1471,362
0,NJYH-0218S,10,33767,348,612,1833,58
0,NJYH-0218S,10,33857,348,612,1891,347
0,NJYH-0218S,10,33900,348,308,1891,372
0,NJYH-0218S,11,34018,0,329,0,612
0,NJYH-0218S,11,34087,0,1160,612,327
0,NJYH-0218S,11,34134,0,398,939,1198
0,NJYH-0218S,11,34216,398,761,939,711
0,NJYH-0218S,11,34292,398,308,1650,766
0,NJYH-0218S,11,34381,398,980,1650,328
0,NJYH-0218S,11,34382,329,308,0,158
0,NJYH-0218S,11,34449,329,767,158,308
0,NJYH-0218S,11,34525,706,348,1978,248
0,NJYH-0218S,11,34527,706,330,1978,548
0,NJYH-0218S,11,34582,706,330,1978,748
0,NJYH-0218S,12,34822,0,328,0,980
0,NJYH-0218S,12,34897,328,748,0,330
0,NJYH-0218S,12,34954,328,309.5,330,760
0,NJYH-0218S,12,35078,0,761,1090,329
0,NJYH-0218S,12,35096,0,748,1419,330
0,NJYH-0218S,12,35162,761,348,330,1948
0,NJYH-0218S,12,35231,0,311,1749,372
0,NJYH-0218S,12,35596,0,612,2121,317
0,NJYH-0218S,12,35613,0,327,2121,782
0,NJYH-0218S,12,35623,0,770,2121,311
0,NJYH-0218S,13,35746,0,348,0,1198
0,NJYH-0218S,13,35804,348,612,0,347
0,NJYH-0218S,13,35880,960,178,0,1160
0,NJYH-0218S,13,36104,0,1162,1198,247
0,NJYH-0218S,13,36847,348,247,347,311
0,NJYH-0218S,13,36997,1138,38,0,512
0,NJYH-0218S,13,37261,595,348,347,248
0,NJYH-0218S,13,37303,595,359,595,512
0,NJYH-0218S,13,37332,0,359,1445,512
0,NJYH-0218S,13,32553,359,398,1445,438
0,NJYH-0218S,13,32622,757,398,1445,438
0,NJYH-0218S,13,33138,359,761,1883,329
0,NJYH-0218S,13,33191,0,338,1957,412
0,NJYH-0218S,13,33269,0,363,1957,711
0,NJYH-0218S,13,33321,0,748,1957,330
0,NJYH-0218S,14,33569,0,38,0,512
0,NJYH-0218S,14,33607,38,438,0,398
0,NJYH-0218S,14,33909,476,220,0,338
0,NJYH-0218S,14,33972,696,438,0,398
0,NJYH-0218S,14,34748,38,438,398,398
0,NJYH-0218S,14,34787,476,407.5,398,245
0,NJYH-0218S,14,34833,476,359,643,512
0,NJYH-0218S,14,35049,883.5,220,398,338
0,NJYH-0218S,14,35088,835,338,736,220
0,NJYH-0218S,14,35102,0,359,796,512
0,NJYH-0218S,14,35159,359,436,1155,512
0,NJYH-0218S,14,35195,795,407.5,1155,245
0,NJYH-0218S,14,35296,795,412,1400,338
0,NJYH-0218S,14,35672,0,398,1667,438
0,NJYH-0218S,14,35894,398,359,1667,512
0,NJYH-0218S,14,35978,398,512,1667,359
0,NJYH-0218S,14,36001,0,220,1308,338
0,NJYH-0218S,14,36178,757,438,2026,398
0,NJYH-0218S,14,36200,757,338,2026,412
0,NJYH-0218S,14,36387,757,512,2026,436
0,NJYH-0218S,14,36495,757,245,2026,407.5
0,NJYH-0218S,15,36547,0,436,0,512
0,NJYH-0218S,15,36560,436,512,0,359
0,NJYH-0218S,15,36583,436,665,359,359
0,NJYH-0218S,15,36677,0,512,718,38
0,NJYH-0218S,15,36924,512,310,718,807.5
0,NJYH-0218S,15,37111,1101,58,0,761
0,NJYH-0218S,15,37163,0,398,756,438
0,NJYH-0218S,15,37196,822,359,761,512
0,NJYH-0218S,15,37421,822,329,761,1637
0,NJYH-0218S,15,33037,0,407.5,1194,245
0,NJYH-0218S,15,33136,0,512,1439,436
0,NJYH-0218S,15,33422,0,807.5,1875,310
0,NJYH-0218S,15,33710,0,512,2185,38
0,NJYH-0218S,15,33719,0,412,2185,338
0,NJYH-0218S,15,33971,0,807.5,2185,310
0,NJYH-0218S,16,34731,0,310,0,807.5
0,NJYH-0218S,16,34830,310,665,0,359
0,NJYH-0218S,16,34853,310,1637,0,329
0,NJYH-0218S,16,35103,310,359,359,1189
0,NJYH-0218S,16,35593,669,310,359,807.5
0,NJYH-0218S,16,35671,0,807.5,1548,310
0,NJYH-0218S,16,35809,0,807.5,1858,310
0,NJYH-0218S,16,35824,0,807.5,1858,310
0,NJYH-0218S,16,36215,0,807.5,1858,310
0,NJYH-0218S,17,36241,0,58,0,781
0,NJYH-0218S,17,36332,0,1189,781,359
0,NJYH-0218S,17,36410,58,807.5,0,310
0,NJYH-0218S,17,36587,58,324,0,2415
0,NJYH-0218S,17,36675,58,329,0,1637
0,NJYH-0218S,17,36784,58,1637,0,329
0,NJYH-0218S,17,37372,58,58,0,2328
0,NJYH-0218S,17,32778,387,310,1140,807.5
0,NJYH-0218S,18,33549,0,88,0,1658
0,NJYH-0218S,18,32790,88,58,0,1658
0,NJYH-0218S,18,32911,88,1678,0,58
0,NJYH-0218S,18,32972,88,1388,0,58
0,NJYH-0218S,18,33178,88,1678,0,58
0,NJYH-0218S,18,34015,88,1658,0,58
0,NJYH-0218S,18,34744,146,58,58,2308
0,NJYH-0218S,18,35683,204,58,58,1678
0,NJYH-0218S,18,35957,262,58,58,1658
0,NJYH-0218S,18,36454,320,58,58,1678
0,NJYH-0218S,18,37300,320,1368,58,58
0,NJYH-0218SD,0,33037,0,359,0,665
0,NJYH-0218SD,0,33136,359,807.5,0,310
0,NJYH-0218SD,0,33422,359,807.5,310,310
0,NJYH-0218SD,0,33710,359,359,620,665
0,NJYH-0218SD,0,33719,359,1637,620,329
0,NJYH-0218SD,0,33971,0,807.5,1285,310
0,NJYH-0218SD,0,34731,0,807.5,1595,310
0,NJYH-0218SD,0,34830,0,1189,1905,359
0,NJYH-0218SD,0,34853,0,807.5,1905,310
0,NJYH-0218SD,0,35103,0,761,2264,58
0,NJYH-0218SD,1,35593,0,359,0,1189
0,NJYH-0218SD,1,35671,359,807.5,0,310
0,NJYH-0218SD,1,35809,359,781,310,58
0,NJYH-0218SD,1,35824,359,1637,310,329
0,NJYH-0218SD,1,36215,359,807.5,639,310
0,NJYH-0218SD,1,36241,359,807.5,949,310
0,NJYH-0218SD,1,36332,0,310,1189,807.5
0,NJYH-0218SD,1,36410,310,807.5,1259,310
0,NJYH-0218SD,1,36587,310,329,1259,1637
0,NJYH-0218SD,2,36675,0,1658,0,58
0,NJYH-0218SD,2,36784,0,1658,0,58
0,NJYH-0218SD,2,37372,0,58,58,1678
0,NJYH-0218SD,2,32778,58,88,58,1658
0,NJYH-0218SD,2,33549,146,58,58,2328
0,NJYH-0218SD,2,32790,146,324,58,2415
0,NJYH-0218SD,2,32911,470,58,58,1678
0,NJYH-0218SD,2,32972,528,58,58,1368
0,NJYH-0218SD,2,33178,586,58,58,1678
0,NJYH-0218SD,2,34015,644,310,58,807.5
0,NJYH-0218SD,2,34744,644,329,58,1637
0,NJYH-0218SD,2,35683,644,1658,58,58
0,NJYH-0218SD,2,35957,644,1678,58,58
0,NJYH-0218SD,2,36454,644,2308,58,58
0,NJYH-0218SD,2,37300,644,1388,58,58
0,XXB-0215S,0,33621,0,288,0,118
0,XXB-0215S,0,34361,288,288,0,118
0,XXB-0215S,0,34704,576,92.5,0,312
0,XXB-0215S,0,35339,668.5,288,0,118
0,XXB-0215S,0,35862,0,313,118,289
0,XXB-0215S,0,36406,668.5,288,118,118
0,XXB-0215S,0,36724,668.5,322,236,289
0,XXB-0215S,0,36823,990.5,92.5,0,321
0,XXB-0218S,0,32580,0,162.5,0,393
0,XXB-0218S,0,33250,162.5,795.5,0,397
0,XXB-0218S,0,33546,0,744,397,394.5
0,XXB-0218S,0,33571,744,394.5,397,744
0,XXB-0218S,0,34063,0,544.5,791.5,320
0,XXB-0218S,0,34080,0,544.5,1111.5,320
0,XXB-0218S,0,35473,544.5,300.5,1141,346
0,XXB-0218S,0,35529,0,393,1431.5,162.5
0,XXB-0218S,0,36936,393,628,1487,393
0,XXB-0218S,0,36967,0,744,1880,396
0,XXB-0218S,0,37331,0,393,1880,628
0,XXB-0218S,0,37348,845,346,1141,300.5
1,HT9-0215S,0,3610,0,2246,0,272
1,HT9-0215S,0,4012,0,775,272,290
1,HT9-0215S,0,4162,0,1236,272,774.5
1,HT9-0215S,0,4478,0,853,1046.5,905
1,HT9-0215S,1,4790,0,1105,0,774.5
1,HT9-0215S,1,6171,0,764,774.5,662
1,HT9-0215S,1,7299,0,662,774.5,1462
1,HT9-0218S,0,3649,0,257,0,1161
1,HT9-0218S,0,3690,257,58,0,290
1,HT9-0218S,0,3691,315,774.5,0,342
1,HT9-0218S,0,3802,257,290,342,327
1,HT9-0218S,0,3865,547,607,342,342
1,HT9-0218S,0,4101,257,257,669,1237
1,HT9-0218S,0,4261,257,779,669,1161
1,HT9-0218S,0,4397,257,1307,669,98
1,HT9-0218S,0,4427,514,289,1830,308
1,HT9-0218S,0,4672,514,1236,1830,416
1,HT9-0218S,1,4787,0,853.5,0,328
1,HT9-0218S,1,5011,0,1198,328,258
1,HT9-0218S,1,5034,0,257,586,1237
1,HT9-0218S,1,5093,257,437,586,237.5
1,HT9-0218S,1,5312,257,853.5,823.5,328
1,HT9-0218S,1,5396,257,853,1151.5,417
1,HT9-0218S,1,5678,1110.5,58,586,1236
1,HT9-0218S,1,5732,1110.5,1236,586,58
1,HT9-0218S,1,5859,257,778,1568.5,237.5
1,HT9-0218S,1,5959,257,607,1806,342
1,HT9-0218S,1,6132,257,1308,1806,468
1,HT9-0218S,2,6157,0,58,0,290
1,HT9-0218S,2,6221,0,1307,0,98
1,HT9-0218S,2,6241,58,437,98,237.5
1,HT9-0218S,2,6283,495,342,98,607
1,HT9-0218S,2,6339,0,778,705,237.5
1,HT9-0218S,2,6416,837,289,98,308
1,HT9-0218S,2,6679,837,342,406,607
1,HT9-0218S,2,6811,0,607,942.5,342
1,HT9-0218S,2,7239,0,1161,1284.5,438
1,HT9-0218S,2,7355,0,258,1284.5,1198
1,HT9-0218S,2,7362,258,853,1722.5,417
1,HT9-0218S,2,7511,0,289,335.5,308
1,HT9-0218S,3,3570,0,758,0,386
1,HT9-0218S,3,3596,758,272,0,219
1,HT9-0218S,3,3672,0,661,386,310
1,HT9-0218S,3,3732,1030,58,0,662
1,HT9-0218S,3,3872,661,309.5,386,421
1,HT9-0218S,3,3893,661,2343,386,220
1,HT9-0218S,3,3996,0,731,807,308
1,HT9-0218S,3,4009,731,309.5,807,869
1,HT9-0218S,3,4010,758,272,219,98
1,HT9-0218S,3,4031,0,271,1115,200
1,HT9-0218S,3,4120,271,421,1115,309.5
1,HT9-0218S,3,4129,271,870,1115,866
1,HT9-0218S,3,4144,0,271,1315,200
1,HT9-0218S,3,4194,0,662,1981,58
1,HT9-0218S,3,4213,1040.5,178.5,662,228
1,HT9-0218S,4,4304,0,220,0,2343
1,HT9-0218S,4,4479,220,756,0,218
1,HT9-0218S,4,4572,220,330,0,2343
1,HT9-0218S,4,4745,220,1312,0,329
1,HT9-0218S,4,4838,550,662,329,329
1,HT9-0218S,4,4877,550,58,658,272
1,HT9-0218S,4,4981,550,853,658,328
1,HT9-0218S,4,5007,550,229,986,199.5
1,HT9-0218S,4,5033,779,310,986,661
1,HT9-0218S,4,5086,779,756,986,218
1,HT9-0218S,4,5089,0,1105,2343,58
1,HT9-0218S,4,5153,550,200,1185.5,271
1,HT9-0218S,5,5162,0,308,0,352
1,HT9-0218S,5,5384,308,310,0,661
1,HT9-0218S,5,5385,618,271,0,200
1,HT9-0218S,5,5582,0,866,661,422
1,HT9-0218S,5,5655,889,328,0,853
1,HT9-0218S,5,5734,0,272,352,98
1,HT9-0218S,5,5912,0,903,1083,330
1,HT9-0218S,5,5943,618,200,200,271
1,HT9-0218S,5,6000,866,199.5,853,229
1,HT9-0218S,5,6013,866,558,853,2108
1,HT9-0218S,5,6019,0,774.5,1413,308
1,HT9-0218S,5,6040,903,219,1082,272
1,HT9-0218S,6,6080,0,1312,0,329
1,HT9-0218S,6,6128,0,903,329,330
1,HT9-0218S,6,6129,903,58,329,272
1,HT9-0218S,6,6227,961,200,329,756
1,HT9-0218S,6,6305,961,2343,329,330
1,HT9-0218S,6,6385,0,662,659,329
1,HT9-0218S,6,6487,0,661,988,310
1,HT9-0218S,6,6642,0,756,1298,228
1,HT9-0218S,6,6763,662,178.5,659,228
1,HT9-0218S,6,6841,0,1105,1526,327
1,HT9-0218S,6,7062,662,271,887,200
1,HT9-0218S,6,7124,662,248,887,756
1,HT9-0218S,7,7179,0,58,0,1105
1,HT9-0218S,7,7379,58,853,0,327
1,HT9-0218S,7,7444,58,329,327,866
1,HT9-0218S,7,7643,387,662,327,329
1,HT9-0225S,0,3803,0,320.5,0,390.5
1,HT9-0225S,0,3984,320.5,320.5,0,390.5
1,HT9-0225S,0,4159,0,853,390.5,392.5
1,HT9-0225S,0,4629,0,2108,390.5,348
1,HT9-0225S,0,4772,853,322,738.5,392
1,HT9-0225S,0,5991,641,328,0,348
1,HT9-0225S,0,6371,0,302,783,372
1,HT9-0225S,0,6378,302,418,783,348
1,HT9-0225S,0,7063,720,348,1130.5,853
1,HT9-0225S,0,3818,720,1309,1130.5,418
1,QKQ-0218S,0,3747,0,796,0,393.8
1,QKQ-0218S,0,3926,796,305,0,788
1,QKQ-0218S,0,4628,0,765.5,393.8,622
1,QKQ-0218S,0,6803,765.5,323,788,788.5
1,QKQ-0218S,0,7392,0,393.8,1015.8,796
1,QKQ-0218S,0,3835,0,899,1811.8,444.5
1,QKQ-0218S,0,4737,0,444.5,1811.8,899
1,QKQ-0218S,0,5095,0,622,1811.8,765.5
1,QKQ-0218S,1,5351,0,788,0,345
1,QKQ-0218S,1,6063,0,899,345,446
1,QKQ-0218S,1,6222,0,788,791,345
1,QKQ-0218S,1,6268,788,375.5,791,788
1,QKQ-0218S,1,6802,0,788,1136,375.5
1,QKQ-0218S,1,7142,899,305,0,586
1,QKQ-0218S,1,7581,0,377,1511.5,788
2,5-0218S,0,9121,0,482.8,0,615
2,5-0218S,0,10924,482.8,435,0,365
2,5-0218S,0,11099,482.8,434.5,365,365
2,5-0218S,0,11129,0,365,615,434.5
2,5-0218S,0,11721,365,477.8,730,615
2,5-0218S,0,7772,842.8,365,730,434.5
2,5-0218S,0,8273,0,477.8,1345,615
2,5-0218S,0,8699,477.8,477.8,1345,615
2,5-0218S,0,9114,0,434.5,1960,365
2,5-0218S,0,9502,0,482.8,1960,615
2,5-0218S,0,10092,482.8,615,1960,477.8
2,5-0218S,0,11205,482.8,482.8,1960,615
2,5-0218S,1,12233,0,463.5,0,645
2,5-0218S,1,8461,463.5,615,0,482.8
2,5-0218S,1,9611,463.5,440,482.8,645
2,5-0218S,1,10767,0,645,1127.8,440
2,5-0218S,1,11849,645,440,1127.8,645
2,5-0218S,1,12461,0,463.5,1567.8,645
2,CGS-0218S,0,7873,0,380.5,0,665
2,CGS-0218S,0,8278,380.5,419,0,915
2,CGS-0218S,0,9073,0,622,915,218
2,CGS-0218S,0,9076,799.5,180,0,389
2,CGS-0218S,0,9285,979.5,180,0,409
2,CGS-0218S,0,9596,799.5,219,409,622
2,CGS-0218S,0,8130,0,915,1133,359.5
2,CGS-0218S,0,8544,0,622,1492.5,218
2,CGS-0218S,0,8914,1018.5,180,409,389
2,CGS-0218S,0,9100,622,389,1492.5,180
2,CGS-0218S,0,12211,0,915,1710.5,419
2,CGS-0218S,0,9821,0,359.5,1710.5,915
2,CGS-0218S,0,12086,359.5,389,2129.5,180
2,CGS-0218S,0,8213,359.5,665,2129.5,380.5
2,CGS-0218S,0,8458,1018.5,180,798,409
2,FMB-0215S,0,7667,0,851.5,0,740
2,FMB-0215S,0,9021,851.5,198,0,947
2,FMB-0215S,0,10646,0,851.5,740,740
2,FMB-0215S,0,12238,0,872,740,1502
2,FMB-0215S,1,8870,0,862,0,2251
2,FMB-0215S,2,11679,0,1039,0,2191
2,FMB-0215S,3,8794,0,868,0,2228.5
2,FMB-0215S,4,10088,0,868,0,2151
2,FMB-0215S,5,10696,0,2286,0,808
2,FMB-0215S,6,12135,0,808,0,2286
2,FMB-0215S,7,11312,0,2231,0,873
2,FMB-0215S,8,11898,0,898,0,671.5
2,FMB-0215S,8,8478,898,80,0,2270
2,FMB-0215S,8,8727,898,873,0,2231
2,FMB-0215S,9,8962,0,504,0,351.5
2,FMB-0215S,9,10009,0,808,351.5,351.5
2,FMB-0215S,9,8305,808,304,0,662
2,FMB-0215S,9,9097,0,671.5,703,745
2,FMB-0215S,9,10290,0,850,1448,351.5
2,FMB-0215S,9,10645,671.5,420,703,351.5
2,FMB-0215S,9,11506,0,808,1799.5,295
2,FMB-0215S,9,11937,0,808,1799.5,351.5
2,FMB-0215S,9,10254,850,304,1054.5,662
2,FMB-0215S,9,11432,850,448,1054.5,671.5
2,FMB-0215S,9,8288,850,850,1054.5,351.5
2,FMB-0215S,10,11983,0,722,0,1506
2,FMB-0215S,10,12609,0,604,1506,295
2,FMB-0215S,10,11726,0,808,1801,295
2,FMB-0215S,10,12060,722,301.5,0,870
2,FMB-0215S,10,12049,722,204.5,0,2251
2,FMB-0215S,10,10227,722,762,0,198
2,FMB-0215S,10,8751,722,690,0,801.5
2,FMB-0215S,11,8898,0,118,0,338
2,FMB-0215S,11,9778,118,338,0,118
2,FMB-0215S,11,7819,456,158,0,388
2,FMB-0215S,11,8099,614,92.5,0,335
2,FMB-0215S,11,8171,706.5,92.5,0,335
2,FMB-0215S,11,8254,799,388,0,158
2,FMB-0215S,11,10232,118,335,118,92.5
2,FMB-0215S,11,10523,799,338,158,118
2,FMB-0215S,11,10630,118,132.5,210.5,541
2,FMB-0215S,11,10770,799,336,276,339
2,FMB-0215S,11,10780,250.5,339,388,336
2,FMB-0215S,11,10911,250.5,860,724,301.5
2,FMB-0215S,11,10919,0,301.5,1025.5,870
2,FMB-0215S,11,10951,301.5,338,1025.5,118
2,FMB-0215S,11,11274,614,158,335,388
2,FMB-0215S,11,11495,639.5,338,1025.5,118
2,FMB-0215S,11,12481,301.5,336,1143.5,339
2,FMB-0215S,11,12646,637.5,389,1143.5,542
2,FMB-0215S,11,7947,772,335,615,92.5
2,FMB-0215S,11,8123,301.5,336,1482.5,339
2,FMB-0215S,11,9687,637.5,338,1685.5,118
2,FMB-0215S,11,9906,637.5,338,1803.5,118
2,FMB-0215S,11,10402,637.5,742,1803.5,651.5
2,FMB-0215S,11,10423,637.5,651.5,1803.5,598
2,FMB-0215S,11,10424,0,541,1895.5,132.5
2,FMB-0215S,11,10527,0,118,338,338
2,FMB-0215S,12,11123,0,542,0,389
2,FMB-0215S,12,11809,542,118,0,338
2,FMB-0215S,12,12109,660,356,0,339
2,FMB-0215S,12,12110,1016,158,0,388
2,FMB-0215S,12,12145,542,388,339,158
